AÑO,CBML,CLASE_ACCIDENTE,DIRECCION,DIRECCION ENCASILLADA,DISEÑO,EXPEDIENTE,FECHA_ACCIDENTE,FECHA_ACCIDENTES,GRAVEDAD_ACCIDENTE,MES,NRO_RADICADO,NUMCOMUNA,BARRIO,COMUNA,LOCATION,X,Y
2016,0408,Atropello,CR 51 CL 67,CR  051   067  000 00000,,A000482279,12/10/2016 08:40:00,2016-10-12T13:40:00.000Z,Con muertos,10,52018,04,San Pedro,Aranjuez,"[-75.5632460176, 6.26408004568]",835571.19,1184673.95
2016,0307,Choque,CR 46 CL 69,CR  046   069  000 00000,Interseccion,A000482483,13/10/2016 05:20:00,2016-10-13T10:20:00.000Z,Con heridos,10,1555043,03,Manrique Central No. 2,Manrique,"[-75.5554414694, 6.26437038596]",836435.21,1184703.63
2016,1016,Choque,CL 56 CR 41,CL  056   041  000 00000,Interseccion,A000482490,13/10/2016 08:20:00,2016-10-13T13:20:00.000Z,Con heridos,10,1555030,10,Boston,La Candelaria,"[-75.5592645374, 6.25050815542]",836007.69,1183171.33
2016,0607,Otro,CR 83 CL 92,CR  083   092  000 00000,Tramo de via,A000482497,13/10/2016 08:50:00,2016-10-13T13:50:00.000Z,Con heridos,10,1554999,06,Kennedy,Doce de Octubre,"[-75.5848918198, 6.29016298467]",833183.38,1187566.21
2016,0307,Choque,CR 45 CL 66,CR  045   066  000 00000,Tramo de via,A000482523,13/10/2016 18:30:00,2016-10-13T23:30:00.000Z,Con heridos,10,1555166,03,Manrique Central No. 2,Manrique,"[-75.5563760599, 6.26146530021]",836330.85,1184382.55
2016,1504,Otro,CR 52 CL 26,CR  052   026  000 00000,Lote o Predio,A000482530,13/10/2016 14:15:00,2016-10-13T19:15:00.000Z,Con heridos,10,1555055,15,Santa Fé,Guayabal,"[-75.5782434002, 6.22583821104]",833898.98,1180448.18
2016,1301,Atropello,CL 57 E CR 85 E,CL  057 E   085 E  000 00000,Tramo de via,A000482536,13/10/2016 22:00:00,2016-10-14T03:00:00.000Z,Con heridos,10,1555114,13,El Pesebre,San Javier,"[-75.6021915268, 6.27261438118]",831262.79,1185630.43
2016,,Choque,CR 999 CL 999,CR  999   999  000 00000,Tramo de via,A000482568,14/10/2016 08:30:00,2016-10-14T13:30:00.000Z,Con heridos,10,1555230,Sin Inf,,No Georef,"[-75.7037762763, 6.22141524356]",820000,1180000
2016,,Atropello,CL 24 CR 24,CL  024   024  000 00000,Tramo de via,A000482658,14/10/2016 18:30:00,2016-10-14T23:30:00.000Z,Con heridos,10,1555576,Sin Inf,,No Georef,"[-75.7037762763, 6.22141524356]",820000,1180000
2016,1621,Choque,CL 30 CR 50,CL  030   050  000 00000,Puente,A000482314,14/10/2016 15:50:00,2016-10-14T20:50:00.000Z,Solo daños,10,1555267,16,Cerro Nutibara,Belén,"[-75.5752848764, 6.23124867284]",834228.2,1181045.78
2016,1504,Choque,CR 50 CL 25,CR  050   025  000 00000,Tramo de via,A000482878,14/10/2016 14:00:00,2016-10-14T19:00:00.000Z,Solo daños,10,1555243,15,Santa Fé,Guayabal,"[-75.5766681846, 6.22531712603]",834073.2,1180390.04
2016,1510,Choque,CR 52 CL 7 Sur,CR  052  S 007  000 00000,Tramo de via,A000482880,14/10/2016 16:10:00,2016-10-14T21:10:00.000Z,Solo daños,10,1555245,15,Guayabal,Guayabal,"[-75.5876234928, 6.20272021618]",832853.26,1177893.71
2016,0906,Choque,CL 49 CR 28,CL  049   028  000 00000,Tramo de via,A000482890,14/10/2016 14:15:00,2016-10-14T19:15:00.000Z,Solo daños,10,1555255,09,Barrio Caicedo,Buenos Aires,"[-75.5512988756, 6.24012334156]",836886.26,1182020.05
2016,1117,Choque,CL 44 CR 71,CL  044   071  000 00000,Tramo de via,A000483083,14/10/2016 09:30:00,2016-10-14T14:30:00.000Z,Solo daños,10,1555473,11,Florida Nueva,Laureles Estadio,"[-75.5902460256, 6.24937107409]",832577.7,1183055.3
2016,0812,Choque,DG 17 DD CL 56 B,DG  017 DD  056 B  000 00000,Tramo de via,A000483120,14/10/2016 07:20:00,2016-10-14T12:20:00.000Z,Solo daños,10,1555462,08,La Libertad,Villa Hermosa,"[-75.5408140117, 6.23942352537]",838046.72,1181939.4
2016,0302,Atropello,CR 36 CL 88,CR  036   088  000 00000,Tramo de via,A000482806,15/10/2016 16:40:00,2016-10-15T21:40:00.000Z,Con heridos,10,1555282,03,Las Granjas,Manrique,"[-75.5461163329, 6.28061079684]",837472.49,1186497.3
2016,,Atropello,CR 63 CL 94,CR  063   094  000 00000,Tramo de via,A000482807,15/10/2016 19:40:00,2016-10-16T00:40:00.000Z,Con heridos,10,1555561,Sin Inf,,No Georef,"[-75.7037762763, 6.22141524356]",820000,1180000
2016,1109,Choque,CR 80 CL 33,CR  080   033  000 00000,Tramo de via,A000482809,15/10/2016 19:00:00,2016-10-16T00:00:00.000Z,Con heridos,10,1555324,11,Las Acacias,Laureles Estadio,"[-75.6003028022, 6.23874343662]",831461.01,1181882.82
2016,1005,Choque,CL 53 CR 55,CL  053   055  000 00000,Interseccion,A000482321,15/10/2016 13:15:00,2016-10-15T18:15:00.000Z,Solo daños,10,1555489,10,Estación Villa,La Candelaria,"[-75.5708817997, 6.25371426566]",834722.68,1183529.64
2016,,Choque,CL 999 CR 43,CL  999   043  000 00000,Tramo de via,A000482323,15/10/2016 15:51:00,2016-10-15T20:51:00.000Z,Solo daños,10,1555573,Sin Inf,,No Georef,"[-75.7037762763, 6.22141524356]",820000,1180000
2016,0601,Choque,CR 78 CL 107 B,CR  078   107 B  000 00000,Tramo de via,A000483023,15/10/2016 12:30:00,2016-10-15T17:30:00.000Z,Solo daños,10,1555362,06,Santander,Doce de Octubre,"[-75.5750585723, 6.30739084446]",834277.3,1189468.91
2016,1016,Choque,CL 56 CR 39,CL  056   039  000 00000,Tramo de via,A000483039,15/10/2016 13:30:00,2016-10-15T18:30:00.000Z,Solo daños,10,1555494,10,Boston,La Candelaria,"[-75.5574207429, 6.24936648754]",836211.44,1183044.46
2016,1419,Otro,CL 10 CR 48,CL  010   048  000 00000,Ciclo Ruta,A000483051,15/10/2016 18:10:00,2016-10-15T23:10:00.000Z,Solo daños,10,1555443,14,Manila,El Poblado,"[-75.5761466627, 6.21334133339]",834127.18,1179065.06
2016,,Choque,CL 99 CR 99,CL  099   099  000 00000,Tramo de via,A000483062,15/10/2016 16:40:00,2016-10-15T21:40:00.000Z,Solo daños,10,1555448,Sin Inf,,No Georef,"[-75.7037762763, 6.22141524356]",820000,1180000
2016,0517,Choque,CR 64 C CL 75 A,CR  064 C   075 A  000 00000,Interseccion,A000483147,15/10/2016 12:27:00,2016-10-15T17:27:00.000Z,Solo daños,10,1555507,05,Caribe,Castilla,"[-75.573135644, 6.27398165897]",834479.57,1185772.42
2016,,Atropello,Sin Información,,,-,15/10/2016 10:00:00,2016-10-15T15:00:00.000Z,Con muertos,10,53516,Sin Inf,,No Georef,"[-75.7037762763, 6.22141524356]",820000,1180000
